Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-RFE-MLP,"[0, 1, 7, 11, 0, 0]",TLDUMMY,CSP,RFE,MLP,,,0,1,7,11,0,0,0.8459999999999999,0.5988888888888889,0.65590500831604,0.17790653705596923
TLDUMMY-CSP-RFECV-SVM,"[0, 1, 8, 1, 0, 0]",TLDUMMY,CSP,RFECV,SVM,,,0,1,8,1,0,0,0.792,0.5811111111111111,0.38135058879852296,0.17958083152770996
TLDUMMY-CSP-RFECV-LDA,"[0, 1, 8, 2, 0, 0]",TLDUMMY,CSP,RFECV,LDA,,,0,1,8,2,0,0,0.7873333333333334,0.6044444444444445,0.24396321773529053,0.19041788578033447
TLDUMMY-CSP-RFECV-LR,"[0, 1, 8, 3, 0, 0]",TLDUMMY,CSP,RFECV,LR,,,0,1,8,3,0,0,0.7853333333333332,0.5822222222222221,0.23370537757873536,0.18125174045562745
TLDUMMY-CSP-RFECV-KNN,"[0, 1, 8, 4, 0, 0]",TLDUMMY,CSP,RFECV,KNN,,,0,1,8,4,0,0,0.8246666666666668,0.5844444444444444,0.23625967502593995,0.19850471019744872
TLDUMMY-CSP-RFECV-DTC,"[0, 1, 8, 5, 0, 0]",TLDUMMY,CSP,RFECV,DTC,,,0,1,8,5,0,0,1.0,0.5677777777777778,0.23578317165374757,0.1905740261077881
TLDUMMY-CSP-RFECV-RFC,"[0, 1, 8, 6, 0, 0]",TLDUMMY,CSP,RFECV,RFC,,,0,1,8,6,0,0,1.0,0.5966666666666667,0.4249002933502197,0.2007392406463623
TLDUMMY-CSP-RFECV-ETC,"[0, 1, 8, 7, 0, 0]",TLDUMMY,CSP,RFECV,ETC,,,0,1,8,7,0,0,1.0,0.5966666666666666,0.3526263952255249,0.18857936859130858
TLDUMMY-CSP-RFECV-ABC,"[0, 1, 8, 8, 0, 0]",TLDUMMY,CSP,RFECV,ABC,,,0,1,8,8,0,0,0.9053333333333334,0.5922222222222222,0.3284618377685547,0.18184218406677247
TLDUMMY-CSP-RFECV-GBC,"[0, 1, 8, 9, 0, 0]",TLDUMMY,CSP,RFECV,GBC,,,0,1,8,9,0,0,1.0,0.5877777777777777,0.37626984119415285,0.18222324848175048
TLDUMMY-CSP-RFECV-GNB,"[0, 1, 8, 10, 0, 0]",TLDUMMY,CSP,RFECV,GNB,,,0,1,8,10,0,0,0.7100000000000001,0.6155555555555555,0.2306307315826416,0.18338587284088134
TLDUMMY-CSP-RFECV-MLP,"[0, 1, 8, 11, 0, 0]",TLDUMMY,CSP,RFECV,MLP,,,0,1,8,11,0,0,0.8133333333333332,0.5877777777777778,0.4948963403701782,0.16391446590423583
TLDUMMY-TRCSP-SVM,"[0, 2, 0, 1, 0, 0]",TLDUMMY,TRCSP,,SVM,,,0,2,0,1,0,0,0.6459999999999999,0.5288888888888887,0.24481403827667236,0.16846084594726562
TLDUMMY-TRCSP-LDA,"[0, 2, 0, 2, 0, 0]",TLDUMMY,TRCSP,,LDA,,,0,2,0,2,0,0,0.65,0.5511111111111111,0.2364448070526123,0.1807406425476074
TLDUMMY-TRCSP-LR,"[0, 2, 0, 3, 0, 0]",TLDUMMY,TRCSP,,LR,,,0,2,0,3,0,0,0.648,0.5355555555555556,0.24006369113922119,0.18789196014404297
TLDUMMY-TRCSP-KNN,"[0, 2, 0, 4, 0, 0]",TLDUMMY,TRCSP,,KNN,,,0,2,0,4,0,0,0.6893333333333334,0.47333333333333344,0.23472087383270263,0.20176970958709717
TLDUMMY-TRCSP-DTC,"[0, 2, 0, 5, 0, 0]",TLDUMMY,TRCSP,,DTC,,,0,2,0,5,0,0,1.0,0.5266666666666666,0.231415057182312,0.18433730602264403
TLDUMMY-TRCSP-RFC,"[0, 2, 0, 6, 0, 0]",TLDUMMY,TRCSP,,RFC,,,0,2,0,6,0,0,1.0,0.5533333333333335,0.39981279373168943,0.1951603889465332
TLDUMMY-TRCSP-ETC,"[0, 2, 0, 7, 0, 0]",TLDUMMY,TRCSP,,ETC,,,0,2,0,7,0,0,1.0,0.5333333333333334,0.34509754180908203,0.18570518493652344
TLDUMMY-TRCSP-ABC,"[0, 2, 0, 8, 0, 0]",TLDUMMY,TRCSP,,ABC,,,0,2,0,8,0,0,0.8333333333333334,0.5166666666666666,0.31341497898101806,0.18970901966094972
TLDUMMY-TRCSP-GBC,"[0, 2, 0, 9, 0, 0]",TLDUMMY,TRCSP,,GBC,,,0,2,0,9,0,0,1.0,0.5599999999999999,0.3892479658126831,0.1938889741897583
TLDUMMY-TRCSP-GNB,"[0, 2, 0, 10, 0, 0]",TLDUMMY,TRCSP,,GNB,,,0,2,0,10,0,0,0.5840000000000001,0.5966666666666666,0.23871476650238038,0.17219114303588867
TLDUMMY-TRCSP-MLP,"[0, 2, 0, 11, 0, 0]",TLDUMMY,TRCSP,,MLP,,,0,2,0,11,0,0,0.8786666666666667,0.5277777777777778,0.8814005613327026,0.18990490436553956
TLDUMMY-TRCSP-ANOVA-K-SVM,"[0, 2, 1, 1, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,SVM,,,0,2,1,1,0,0,0.6459999999999999,0.5288888888888887,0.24565367698669432,0.18139855861663817
TLDUMMY-TRCSP-ANOVA-K-LDA,"[0, 2, 1, 2, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,LDA,,,0,2,1,2,0,0,0.65,0.5511111111111111,0.23746726512908936,0.17438063621520997
TLDUMMY-TRCSP-ANOVA-K-LR,"[0, 2, 1, 3, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,LR,,,0,2,1,3,0,0,0.648,0.5355555555555556,0.23306589126586913,0.17959697246551515
TLDUMMY-TRCSP-ANOVA-K-KNN,"[0, 2, 1, 4, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,KNN,,,0,2,1,4,0,0,0.6893333333333334,0.47333333333333344,0.227978515625,0.19564406871795653
TLDUMMY-TRCSP-ANOVA-K-DTC,"[0, 2, 1, 5, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,DTC,,,0,2,1,5,0,0,1.0,0.5077777777777778,0.23716359138488768,0.20066332817077637
TLDUMMY-TRCSP-ANOVA-K-RFC,"[0, 2, 1, 6, 0, 0]",TLDUMMY,TRCSP,ANOVA-K,RFC,,,0,2,1,6,0,0,1.0,0.54,0.41587927341461184,0.2132260322570801
